F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0     1     0  5  80   0 - 19465 ep_pol ?        00:00:03 systemd
1 S     0     2     0  0  80   0 -     0 kthrea ?        00:00:00 kthreadd
1 I     0     3     2  0  80   0 -     0 worker ?        00:00:00 kworker/0:0
1 I     0     4     2  0  60 -20 -     0 worker ?        00:00:00 kworker/0:0H
1 I     0     5     2  0  80   0 -     0 worker ?        00:00:00 kworker/u2:0
1 I     0     6     2  0  60 -20 -     0 rescue ?        00:00:00 mm_percpu_wq
1 S     0     7     2  0  80   0 -     0 smpboo ?        00:00:00 ksoftirqd/0
1 I     0     8     2  0  80   0 -     0 rcu_gp ?        00:00:00 rcu_sched
1 I     0     9     2  0  80   0 -     0 rcu_gp ?        00:00:00 rcu_bh
1 S     0    10     2  0 -40   - -     0 smpboo ?        00:00:00 migration/0
5 S     0    11     2  0 -40   - -     0 smpboo ?        00:00:00 watchdog/0
1 S     0    12     2  0  80   0 -     0 smpboo ?        00:00:00 cpuhp/0
5 S     0    13     2  0  80   0 -     0 devtmp ?        00:00:00 kdevtmpfs
1 I     0    14     2  0  60 -20 -     0 rescue ?        00:00:00 netns
1 S     0    15     2  0  80   0 -     0 rcu_ta ?        00:00:00 rcu_tasks_kthre
1 S     0    16     2  0  80   0 -     0 kaudit ?        00:00:00 kauditd
1 S     0    17     2  0  80   0 -     0 watchd ?        00:00:00 khungtaskd
1 S     0    18     2  0  80   0 -     0 oom_re ?        00:00:00 oom_reaper
1 I     0    19     2  0  60 -20 -     0 rescue ?        00:00:00 writeback
1 S     0    20     2  0  80   0 -     0 kcompa ?        00:00:00 kcompactd0
1 S     0    21     2  0  85   5 -     0 ksm_sc ?        00:00:00 ksmd
1 S     0    22     2  0  99  19 -     0 khugep ?        00:00:00 khugepaged
1 I     0    23     2  0  60 -20 -     0 rescue ?        00:00:00 crypto
1 I     0    24     2  0  60 -20 -     0 rescue ?        00:00:00 kintegrityd
1 I     0    25     2  0  60 -20 -     0 rescue ?        00:00:00 kblockd
1 I     0    26     2  0  60 -20 -     0 rescue ?        00:00:00 ata_sff
1 I     0    27     2  0  60 -20 -     0 rescue ?        00:00:00 md
1 I     0    28     2  0  60 -20 -     0 rescue ?        00:00:00 edac-poller
1 I     0    29     2  0  60 -20 -     0 rescue ?        00:00:00 devfreq_wq
1 I     0    30     2  0  60 -20 -     0 rescue ?        00:00:00 watchdogd
1 I     0    31     2  0  80   0 -     0 worker ?        00:00:00 kworker/u2:1
1 I     0    32     2  0  80   0 -     0 worker ?        00:00:00 kworker/0:1
